"mapid","synsetid","synsetid2","score"
"56788","104381286","104262544","100"
"56789","104381693","104262951","100"
"56790","104382017","104263276","100"
"56791","103974743","103867992","100"
"56792","115035281","114373276","100"
"56793","109322983","108863038","100"
"56794","110550026","110011967","100"
"56795","108600188","108187531","100"
"56796","114119994","113500074","100"
"56797","114686217","114035206","100"
"56798","102143821","102080245","100"
"56799","101306766","101249455","100"
"56800","102283956","102220203","100"
"56801","110550401","110012342","100"
"56802","113085939","112501625","100"
"56803","100145316","100139439","100"
"56804","104382266","104263525","100"
"56805","102109140","102045925","100"
"56806","102108977","102045762","100"
"56807","109323187","108863241","100"
"56808","108623536","108209646","100"
"56809","106732010","106404415","100"
"56810","104382864","104264104","100"
"56811","104382965","104264205","100"
"56812","110550536","110012477","100"
"56813","112035750","111455847","100"
"56814","100708192","100676707","100"
"56815","112899205","112317799","100"
"56816","112899384","112317978","100"
"56817","100905619","100864109","100"
"56818","104383324","104264564","100"
"56819","113733209","113129633","100"
"56820","108563494","108153350","100"
"56821","107520816","107155513","100"
"56822","104383713","104264953","100"
"56823","108428983","108026351","100"
"56824","109151000","108705260","100"
"56825","110550876","110012817","100"
"56826","104929173","104726660","100"
"56827","104383854","104265094","100"
"56828","108837647","108410037","100"
"56829","104383987","104265227","100"
"56830","104384692","104265932","100"
"56831","104384982","104266222","100"
"56832","115073644","114410294","100"
"56833","113553448","112960302","100"
"56834","104385955","104267184","100"
"56835","113110533","112525731","100"
"56836","113250253","112663731","100"
"56837","104384304","104265544","100"
"56838","104384588","104265828","100"
"56839","113209040","112623368","100"
"56840","114917742","114260251","100"
"56841","115053031","114390726","100"
"56842","115068852","114405616","100"
"56843","115071368","114408114","100"
"56844","115024968","114363081","100"
"56845","113227729","112641536","100"
"56846","104385105","104266345","100"
"56847","113242528","112656107","100"
"56848","115029190","114367213","100"
"56849","114945481","114287124","100"
"56850","104870907","104677563","100"
"56851","115037287","114375231","100"
"56852","114920082","114262591","100"
"56853","101048692","101001889","100"
"56854","114935820","114277791","100"
"56855","105951370","105673825","100"
"56856","113661080","113060485","100"
"56857","106418888","106103459","100"
"56858","106702015","106375660","100"
"56859","115069584","114406348","100"
"56860","114922886","114265057","100"
"56861","114955716","114296945","100"
"56862","108570057","108159526","100"
"56863","114974591","114314238","100"
"56864","113770870","113163914","100"
"56865","104385265","104266505","100"
"56866","108991410","108556636","100"
"56867","110551264","110013205","100"
"56868","100784093","100746413","100"
"56869","108585613","108174540","100"
"56870","107420305","107061237","100"
"56871","108585769","108174695","100"
