"301721691","86678","a"
"301729384","40159","a"
"301729384","50505","a"
"301729384","94655","a"
"301729566","43473","a"
"301729566","50505","a"
"301729566","93140","a"
"301729566","93162","a"
"301729566","107510","a"
"301729566","122599","a"
"301729819","50505","a"
"301729819","75681","a"
"301729819","104288","a"
"301730329","75635","a"
"301730444","75681","a"
"301730820","94655","a"
"301731108","131897","a"
"301731351","104066","a"
"301732601","27623","a"
"301733189","68049","p"
"301740358","49107","a"
"301741953","95617","a"
"301750617","38784","p"
"301751609","85269","a"
"301755508","125078","a"
"301756166","1577","a"
"301758194","145840","a"
"301761375","94744","p"
"301765132","92093","a"
"301765926","9101","p"
"301768086","68732","a"
"301768466","68066","p"
"301768724","95362","a"
"301771124","142839","a"
"301774720","105108","p"
"301778572","5782","a"
"301792573","11521","a"
"301792573","83858","a"
"301792573","120077","a"
"301798162","23089","a"
"301805489","18012","p"
"301806677","47508","p"
"301806677","119513","p"
"301806677","119522","p"
"301806677","133311","p"
"301816195","13442","p"
"301823948","94744","p"
"301827261","109727","ip"
"301832108","107398","a"
"301839317","141232","a"
"301842963","2531","ip"
"301844002","49003","p"
"301845002","139530","p"
"301846049","104054","a"
"301846204","90860","a"
"301846204","95015","a"
"301847242","63471","p"
"301847864","10276","p"
"301850862","139673","a"
"301855446","127514","a"
"301855446","140015","a"
"301861648","68075","p"
"301862697","4132","p"
"301865043","137601","a"
"301869258","104862","a"
"301873985","6936","a"
"301873985","116982","a"
"301877182","132677","a"
"301883106","50291","a"
"301888765","105350","a"
"301890752","16779","a"
"301890752","16781","a"
"301892506","105482","p"
"301902003","130370","a"
"301903965","97809","a"
"301910652","2134","p"
"301910652","2526","p"
"301911589","106998","a"
"301916555","3874","a"
"301916979","68031","p"
"301918541","13594","p"
"301926089","108812","a"
"301926089","132209","a"
"301931034","9145","p"
"301931203","48990","p"
"301931203","104440","p"
"301931203","118067","p"
"301931807","111928","p"
"301931926","108698","p"
"301932633","92387","p"
"301932633","92390","p"
"301932633","92406","a"
"301935139","39075","a"
"301935581","135620","a"
"301937994","108716","a"
"301938322","105151","a"
"301938508","135750","a"
"301941383","135785","p"
"301941383","135795","a"
"301941814","103540","a"
"301941814","141840","a"
"301952643","108534","a"
"301952643","113243","a"
"301966740","120176","a"
"301971846","3206","p"
"301971846","73868","p"
"301972349","82572","p"
"301975671","57384","p"
"301988468","118100","p"
"301988829","48852","p"
"301990172","13235","p"
"301990172","34009","p"
"301990172","94773","p"
"301990507","38025","a"
"301998535","38024","a"
"302001406","64059","a"
"302002683","94780","p"
"302009993","40513","a"
"302010441","78386","a"
"302013630","109499","ip"
"302023661","68050","p"
"302024022","138873","p"
"302026629","13039","p"
"302029047","111701","a"
"302029047","111748","a"
"302029438","76398","a"
"302029438","76417","a"
"302032730","111748","a"
"302033323","76417","a"
"302033556","89001","a"
"302033556","90093","a"
"302045473","31471","a"
"302050841","47140","a"
"302058379","92393","p"
"302060359","92985","p"
"302061307","113855","p"
"302061487","94744","p"
"302061678","38780","p"
"302064427","93049","a"
"302067719","37856","a"
"302068174","118187","p"
"302068730","2529","a"
"302068730","2530","a"
"302068730","113960","a"
"302068946","117326","a"
"302068946","141232","a"
"302070188","6077","a"
"302070491","89722","a"
"302071782","3206","p"
"302072806","107187","a"
"302073678","28257","p"
"302073678","92382","p"
"302073834","67996","p"
"302073834","68000","p"
"302073834","68080","p"
"302074673","103042","p"
"302075938","134148","p"
"302076416","81499","p"
"302076988","90545","p"
"302076988","92384","p"
"302081933","97135","a"
"302088974","121759","a"
"302089724","68302","p"
"302090228","121770","a"
"302100236","80876","ip"
"302100566","108214","a"
"302100968","99083","a"
"302101240","85236","ip"
"302101942","146551","a"
"302102178","116160","a"
"302103052","5161","a"
"302103052","5556","a"
"302103333","8673","p"
"302106366","3754","p"
"302107386","33982","p"
"302107386","91581","p"
"302107827","69530","p"
"302107827","137080","p"
"302110161","6677","p"
"302110317","9071","p"
"302131668","136333","p"
"302152985","122405","a"
"302153174","120176","a"
"302180277","135750","a"
"302214518","93110","a"
"302214518","93119","a"
"302214518","93149","a"
"302214736","78873","a"
"302214736","78880","a"
"302214736","93185","a"
"302214736","122405","a"
"302214736","122494","a"
"302226661","7418","a"
"302226979","141848","a"
"302230205","94757","p"
"302230324","117479","a"
"302240795","64818","p"
"302249766","4132","p"
"302250430","78873","a"
"302250430","78878","a"
"302251212","4132","p"
"302251212","78873","a"
"302251212","78878","a"
"302267308","122586","a"
"302267686","6640","a"
"302268133","16359","a"
"302268268","118187","a"
"302268485","90381","a"
"302268882","88636","a"
"302269142","147045","a"
"302269286","3814","a"
"302269635","40102","a"
"302269794","44407","a"
"302270057","44410","p"
"302270186","44407","a"
"302285278","68096","p"
"302286790","125371","p"
"302287175","27991","p"
"302300501","110320","p"
"302304119","2525","p"
"302312060","3205","ip"
"302312450","10310","p"
"302319034","126378","a"
"302321575","12474","a"
"302323072","74268","a"
"302332204","67928","p"
"302334321","38398","p"
"302334973","94744","a"
"302337329","115414","p"
"302337558","119458","p"
"302339341","76140","a"
"302341864","133957","p"
"302342309","15406","a"
"302342899","104430","a"
"302343517","125749","a"
"302348376","140015","a"
"302356048","35064","p"
"302362178","77194","p"
"302364066","68204","p"
"302366365","77194","p"
"302380358","68035","p"
"302385726","67994","p"
"302401863","77458","a"
"302402439","13752","a"
"302402439","62769","a"
"302407346","106323","p"
"302407346","106324","p"
"302407346","106325","a"
"302419159","34486","p"
"302419159","79233","p"
"302420085","143647","p"
"302432154","3824","p"
"302432154","12492","p"
"302432154","18639","p"
"302432154","33982","p"
"302433451","145949","p"
"302433451","145951","a"
"302438831","48523","a"
"302438831","48525","a"
"302439949","133872","a"
"302440691","16414","a"
"302441215","119560","a"
"302457558","67929","p"
"302462375","135812","a"
"302465519","135750","p"
"302468208","69555","p"
"302468208","146136","p"
"302468453","111755","p"
"302468538","111756","p"
"302469577","109793","a"
"302469577","141101","a"
"302474377","26193","a"
"302474876","93286","a"
"302476338","67942","p"
"302477691","68004","p"
"302477885","93049","a"
"302484208","8502","a"
"302485319","64059","a"
"302485488","139530","a"
"302485488","139692","a"
"302485650","35556","a"
"302486248","38780","a"
"302486248","38834","a"
"302487414","38780","a"
